deployment_id,receiver_id,station_name,deploy_date_time,deploy_latitude,deploy_longitude,mooring_type,recover_date_time
3971,VR2W-123820,ws-DL7,2018-10-11T00:00:00Z,51.471342,3.475013,NA,2019-04-30T00:00:00Z
4884,VR2W-123820,ws-DL7,2019-04-30T00:00:00Z,51.471342,3.475013,NA,2019-09-24T00:00:00Z
6035,VR2W-123820,ws-DL7,2019-09-24T00:00:00Z,51.471342,3.475013,surface-buoy,2020-02-10T00:00:00Z
3984,VR2W-133322,ws-DL9,2018-10-11T00:00:00Z,51.465842,3.48868,NA,2019-04-30T00:00:00Z
4886,VR2W-133322,ws-DL9,2019-04-30T00:00:00Z,51.465842,3.48868,NA,2019-09-24T00:00:00Z
6034,VR2W-133322,ws-DL9,2019-09-24T00:00:00Z,51.465842,3.48868,surface-buoy,2020-02-10T00:00:00Z
3975,VR2W-123830,ws-DL12,2018-10-11T00:00:00Z,51.466175,3.502181,NA,2019-10-08T00:00:00Z
6032,VR2TX-480720,ws-DL12,2019-09-24T12:00:00Z,51.466175,3.502181,surface-buoy,2020-05-27T00:00:00Z
3985,VR2W-123821,ws-GVWSP,2018-10-11T00:00:00Z,51.447341,3.470514,NA,2019-04-30T00:00:00Z
4891,VR2W-123821,ws-GVWSP,2019-04-30T00:00:00Z,51.447341,3.470514,NA,2019-09-24T00:00:00Z
6038,VR2W-123821,ws-GVWSP,2019-09-24T00:00:00Z,51.447341,3.470514,surface-buoy,2020-05-27T00:00:00Z
3973,VR2W-123832,ws-OG10,2018-10-11T00:00:00Z,51.474675,3.510681,NA,2019-04-30T00:00:00Z
4885,VR2W-123832,ws-OG10,2019-04-30T00:00:00Z,51.474675,3.510681,NA,2019-09-24T00:00:00Z
6026,VR2W-123832,ws-OG10,2019-09-24T00:00:00Z,51.474675,3.510681,NA,2020-05-27T00:00:00Z
3976,VR2W-123831,ws-OGDL,2018-10-11T00:00:00Z,51.46395,3.51263,NA,2019-04-30T00:00:00Z
4883,VR2W-123831,ws-OGDL,2019-04-30T00:00:00Z,51.46395,3.51263,NA,2019-09-24T00:00:00Z
6033,VR2W-123831,ws-OGDL,2019-09-24T00:00:00Z,51.46395,3.51263,NA,2020-05-27T00:00:00Z
3972,VR2W-123819,ws-SP3,2018-10-11T00:00:00Z,51.459333,3.4718333,NA,2019-04-30T00:00:00Z
4887,VR2W-123819,ws-SP3,2019-04-30T00:00:00Z,51.459333,3.4718333,NA,2019-09-24T00:00:00Z
6036,VR2W-123819,ws-SP3,2019-09-24T00:00:00Z,51.459333,3.4718333,surface-buoy,2020-05-27T00:00:00Z
3979,VR2W-123813,ws-STEEN,2018-10-11T00:00:00Z,51.403409,3.465898,NA,2019-04-30T00:00:00Z
4880,VR2W-134900,ws-STEEN,2019-04-30T00:00:00Z,51.403409,3.465898,surface-buoy,2019-09-24T00:00:00Z
6021,VR2W-134900,ws-STEEN,2019-09-24T00:00:00Z,51.403409,3.465898,surface-buoy,2019-09-24T00:00:00Z
6040,VR2W-134900,ws-STEEN,2019-09-24T00:00:00Z,51.403409,3.465898,surface-buoy,2020-05-27T00:00:00Z
4757,VR2W-131002,ws-TRAWL,2019-03-19T12:00:00Z,51.437785,3.470347,NA,2019-04-30T00:00:00Z
4888,VR2W-131002,ws-TRAWL,2019-04-30T00:00:00Z,51.437785,3.470347,NA,2019-09-24T00:00:00Z
6039,VR2W-131002,ws-TRAWL,2019-09-24T00:00:00Z,51.437785,3.470347,NA,2020-05-27T00:00:00Z
3974,VR2W-123815,ws-W6,2018-10-11T00:00:00Z,51.41834,3.453181,NA,2019-04-30T00:00:00Z
4890,VR2W-123815,ws-W6,2019-04-30T00:00:00Z,51.41834,3.453181,NA,2019-09-24T00:00:00Z
6020,VR2W-123815,ws-W6,2019-09-24T00:00:00Z,51.41834,3.453181,surface-buoy,2020-05-27T00:00:00Z
3978,VR2W-123826,ws-W7,2018-10-11T00:00:00Z,51.410173,3.454515,surface-buoy,2019-09-24T00:00:00Z
6029,VR2TX-480722,ws-W7,2019-09-24T12:00:00Z,51.410173,3.454515,NA,2020-05-27T00:00:00Z
4758,VR2W-131979,ws-WN2,2019-03-19T12:00:00Z,51.428174,3.462181,NA,2019-04-30T00:00:00Z
4889,VR2W-131979,ws-WN2,2019-04-30T00:00:00Z,51.428174,3.462181,NA,2019-09-24T10:00:00Z
6030,VR2TX-480061,ws-WN2,2019-09-24T12:00:00Z,51.428174,3.462181,NA,2020-05-27T00:00:00Z
4472,VR2W-122329,ws-2C,2019-01-15T00:00:00Z,51.4169613,3.7188079,surface-buoy,2019-09-25T00:00:00Z
6057,VR2W-122329,ws-2C,2019-09-25T00:00:00Z,51.4169613,3.7188079,surface-buoy,2020-06-03T00:00:00Z
4466,VR2W-120882,ws-4,2019-01-15T00:00:00Z,51.3970414,3.7153436,NA,2019-09-25T00:00:00Z
6052,VR2W-120882,ws-4,2019-09-25T00:00:00Z,51.3970414,3.7153436,NA,2020-06-03T00:00:00Z
4469,VR2W-120883,ws-6,2019-01-15T00:00:00Z,51.3913098,3.7161726,NA,2019-09-25T00:00:00Z
6055,VR2W-120883,ws-6,2019-09-25T00:00:00Z,51.3913098,3.7161726,NA,2020-06-03T00:00:00Z
4471,VR2W-120874,ws-11,2019-01-15T00:00:00Z,51.41163,3.70746,NA,2019-09-25T00:00:00Z
6056,VR2W-120874,ws-11,2019-09-25T00:00:00Z,51.41163,3.70746,NA,2020-06-03T00:00:00Z
4488,VR2W-124071,ws-12A,2019-01-16T00:00:00Z,51.3648799,3.765539,NA,2019-09-25T00:00:00Z
6051,VR2W-124071,ws-12A,2019-09-25T00:00:00Z,51.3648799,3.765539,NA,2020-05-18T00:00:00Z
4468,VR2W-120876,ws-13,2019-01-15T00:00:00Z,51.4071859,3.7080883,NA,2019-09-25T00:00:00Z
6054,VR2W-120876,ws-13,2019-09-25T00:00:00Z,51.4071859,3.7080883,NA,2020-06-03T00:00:00Z
4482,VR2W-127736,ws-14,2019-01-16T00:00:00Z,51.3601518,3.7798113,surface-buoy,2019-09-25T00:00:00Z
10024,VR2W-127736,ws-14,2019-09-25T10:00:00Z,51.3601518,3.7798113,surface-buoy,2019-12-07T10:00:00Z
4470,VR2W-120878,ws-15,2019-01-15T00:00:00Z,51.386465,3.7080085,NA,2019-10-24T00:00:00Z
6174,VR2W-120878,ws-15,2019-10-24T00:00:00Z,51.386465,3.7080085,NA,2020-06-03T00:00:00Z
4465,VR2W-120886,ws-15A,2019-01-15T00:00:00Z,51.3805457,3.717259,NA,2019-10-24T00:00:00Z
6175,VR2W-120886,ws-15A,2019-10-24T00:00:00Z,51.3805457,3.717259,NA,2020-06-03T00:00:00Z
4485,VR2W-122346,ws-16,2019-01-16T00:00:00Z,51.3544901,3.795027,NA,2019-09-25T00:00:00Z
6048,VR2W-122346,ws-16,2019-09-25T00:00:00Z,51.3544901,3.795027,NA,2020-05-18T00:00:00Z
4483,VR2W-115447,ws-18,2019-01-16T00:00:00Z,51.3482621,3.8147323,NA,2019-09-25T00:00:00Z
6047,VR2W-115447,ws-18,2019-09-25T00:00:00Z,51.3482621,3.8147323,NA,2020-05-18T00:00:00Z
4459,VR2W-115434,ws-23,2019-01-15T00:00:00Z,51.3552573,3.7609896,NA,2019-09-25T00:00:00Z
6045,VR2W-115434,ws-23,2019-09-25T00:00:00Z,51.3552573,3.7609896,NA,2020-05-18T00:00:00Z
