station_name,deploy_latitude,deploy_longitude,geometry,dist_to_coast,area
ws-11,51.41163,3.70746,"c(3.70746, 51.41163)",2.594873742020556,WS2
ws-12,51.37033,3.7511,"c(3.7511, 51.37033)",1.9483183833901137,WS2
ws-12A,51.3648799,3.765539,"c(3.765539, 51.3648799)",1.6451183832943634,WS2
ws-13,51.4071859,3.7080883,"c(3.7080883, 51.4071859)",2.9931671695409143,WS2
ws-14,51.3601518,3.7798113,"c(3.7798113, 51.3601518)",1.1193356109832973,WS2
ws-15,51.386465,3.7080085,"c(3.7080085, 51.386465)",1.4867262300024546,WS2
ws-15A,51.3805457,3.717259,"c(3.717259, 51.3805457)",1.2734849444790275,WS2
ws-16,51.3544901,3.795027,"c(3.795027, 51.3544901)",0.48995070251654443,WS2
ws-18,51.3482621,3.8147323,"c(3.8147323, 51.3482621)",0.16619473102061538,WS2
ws-23,51.3552573,3.7609896,"c(3.7609896, 51.3552573)",0.575186077164837,WS2
ws-25,51.351926,3.773559,"c(3.773559, 51.351926)",0.20466127707739196,WS2
ws-25A,51.352186,3.781008,"c(3.781008, 51.352186)",0.2335829800243276,WS2
ws-25B,51.36355005,3.7587155,"c(3.7587155, 51.36355005)",1.4632397973273292,WS2
ws-2C,51.4169613,3.7188079,"c(3.7188079, 51.4169613)",1.6868114461787005,WS2
ws-4,51.3970414,3.7153436,"c(3.7153436, 51.3970414)",2.7622092275105814,WS2
ws-6,51.3913098,3.7161726,"c(3.7161726, 51.3913098)",2.1960380706890206,WS2
ws-A1,51.372499500000004,3.7229828,"c(3.7229828, 51.3724995)",0.8694168733185659,WS2
ws-A3,51.3655375,3.734487,"c(3.734487, 51.3655375)",0.8223915728802641,WS2
ws-A5,51.3584544,3.7454284,"c(3.7454284, 51.3584544)",0.5793759718628555,WS2
ws-DL12,51.466175,3.502181,"c(3.502181, 51.466175)",1.48239014923209,WS1
ws-DL7,51.471342,3.475013,"c(3.475013, 51.471342)",2.879285074417349,WS1
ws-DL9,51.465842,3.48868,"c(3.48868, 51.465842)",2.3227832408586515,WS1
ws-GVWSP,51.447341,3.470514,"c(3.470514, 51.447341)",4.470697567007773,WS1
ws-OG10,51.474675,3.510681,"c(3.510681, 51.474675)",0.5174298466324703,WS1
ws-OGDL,51.46395,3.51263,"c(3.51263, 51.46395)",1.018437189952373,WS1
ws-PPB,51.353339,3.7522275,"c(3.7522275, 51.353339)",0.2421495317334758,WS2
ws-PPC,51.3536136,3.7376409,"c(3.7376409, 51.3536136)",0.12819265603129623,WS2
ws-PVTSS,51.4018055,3.7089134,"c(3.7089134, 51.4018055)",3.1433810252441456,WS2
ws-SP3,51.459333,3.4718333,"c(3.4718333, 51.459333)",3.692297670794063,WS1
ws-STEEN,51.403409,3.465898,"c(3.465898, 51.403409)",0.48217345497864694,WS1
ws-TRAWL,51.437785,3.470347,"c(3.470347, 51.437785)",4.023235115179095,WS1
ws-W6,51.41834,3.453181,"c(3.453181, 51.41834)",2.3335306226389267,WS1
ws-W7,51.410173,3.454515,"c(3.454515, 51.410173)",1.441161382612572,WS1
ws-WN2,51.428174,3.462181,"c(3.462181, 51.428174)",3.1811876624604047,WS1
ws-borssele,51.431616667,3.704916667,"c(3.704916667, 51.431616667)",1.0836600858932819,WS2
