station_name,Group,percentage
bpns-Birkenfels,"(-0.001, 10.0]",0.0
bpns-Birkenfels,"(10.0, 20.0]",0.0
bpns-Birkenfels,"(20.0, 30.0]",0.0
bpns-Birkenfels,"(30.0, 40.0]",0.0
bpns-Birkenfels,"(40.0, 50.0]",1.0
bpns-G-88,"(-0.001, 10.0]",0.15
bpns-G-88,"(10.0, 20.0]",0.85
bpns-G-88,"(20.0, 30.0]",0.0
bpns-G-88,"(30.0, 40.0]",0.0
bpns-G-88,"(40.0, 50.0]",0.0
bpns-Grafton,"(-0.001, 10.0]",0.0
bpns-Grafton,"(10.0, 20.0]",0.0
bpns-Grafton,"(20.0, 30.0]",1.0
bpns-Grafton,"(30.0, 40.0]",0.0
bpns-Grafton,"(40.0, 50.0]",0.0
bpns-Nauticaena,"(-0.001, 10.0]",1.0
bpns-Nauticaena,"(10.0, 20.0]",0.0
bpns-Nauticaena,"(20.0, 30.0]",0.0
bpns-Nauticaena,"(30.0, 40.0]",0.0
bpns-Nauticaena,"(40.0, 50.0]",0.0
bpns-S4,"(-0.001, 10.0]",0.0
bpns-S4,"(10.0, 20.0]",1.0
bpns-S4,"(20.0, 30.0]",0.0
bpns-S4,"(30.0, 40.0]",0.0
bpns-S4,"(40.0, 50.0]",0.0
bpns-VG2,"(-0.001, 10.0]",1.0
bpns-VG2,"(10.0, 20.0]",0.0
bpns-VG2,"(20.0, 30.0]",0.0
bpns-VG2,"(30.0, 40.0]",0.0
bpns-VG2,"(40.0, 50.0]",0.0
bpns-W1,"(-0.001, 10.0]",1.0
bpns-W1,"(10.0, 20.0]",0.0
bpns-W1,"(20.0, 30.0]",0.0
bpns-W1,"(30.0, 40.0]",0.0
bpns-W1,"(40.0, 50.0]",0.0
ws-11,"(-0.001, 10.0]",1.0
ws-11,"(10.0, 20.0]",0.0
ws-11,"(20.0, 30.0]",0.0
ws-11,"(30.0, 40.0]",0.0
ws-11,"(40.0, 50.0]",0.0
ws-13,"(-0.001, 10.0]",1.0
ws-13,"(10.0, 20.0]",0.0
ws-13,"(20.0, 30.0]",0.0
ws-13,"(30.0, 40.0]",0.0
ws-13,"(40.0, 50.0]",0.0
ws-4,"(-0.001, 10.0]",1.0
ws-4,"(10.0, 20.0]",0.0
ws-4,"(20.0, 30.0]",0.0
ws-4,"(30.0, 40.0]",0.0
ws-4,"(40.0, 50.0]",0.0
ws-DL12,"(-0.001, 10.0]",0.32
ws-DL12,"(10.0, 20.0]",0.68
ws-DL12,"(20.0, 30.0]",0.0
ws-DL12,"(30.0, 40.0]",0.0
ws-DL12,"(40.0, 50.0]",0.0
ws-DL7,"(-0.001, 10.0]",0.8656716417910447
ws-DL7,"(10.0, 20.0]",0.13432835820895522
ws-DL7,"(20.0, 30.0]",0.0
ws-DL7,"(30.0, 40.0]",0.0
ws-DL7,"(40.0, 50.0]",0.0
ws-DL9,"(-0.001, 10.0]",0.71875
ws-DL9,"(10.0, 20.0]",0.28125
ws-DL9,"(20.0, 30.0]",0.0
ws-DL9,"(30.0, 40.0]",0.0
ws-DL9,"(40.0, 50.0]",0.0
ws-GVWSP,"(-0.001, 10.0]",1.0
ws-GVWSP,"(10.0, 20.0]",0.0
