station_name,max_depth,min_depth,mean_depth,p_0_10m,p_10_20m,p_20_30m,p_30_40m,p_40_50m,group
ws-11,2.10614,1.80526,2.4070199999999997,1,0,0,0,0,detections
ws-13,4.36274,1.5043799999999996,7.521979999999999,1,0,0,0,0,detections
ws-4,4.2123,3.91142,4.513179999999999,1,0,0,0,0,detections
ws-DL12,10.723343199999999,8.12374,12.336059999999998,0.32,0.68,0,0,0,detections
ws-DL7,7.724063582089552,1.80526,11.13254,0.8656716417910447,0.13432835820895522,0,0,0,detections
ws-DL9,7.681822499999999,1.5043799999999996,12.03518,0.71875,0.28125,0,0,0,detections
ws-GVWSP,6.117873333333332,4.212299999999999,7.822859999999999,1,0,0,0,0,detections
ws-OG10,18.15213330930065,1.80526,24.37126,0.04686373467916366,0.6705118961788031,0.28262436914203315,0,0,detections
ws-OGDL,15.472291529411763,9.32726,20.15894,0.10588235294117648,0.8823529411764706,0.01176470588235294,0,0,detections
ws-PVTSS,9.628139999999998,4.513179999999999,16.849259999999997,0.6666666666666666,0.3333333333333333,0,0,0,detections
ws-SP3,7.421686666666666,7.2211,7.521979999999999,1,0,0,0,0,detections
ws-TRAWL,6.385322222222222,2.7078999999999995,13.840459999999998,0.6666666666666666,0.3333333333333333,0,0,0,detections
ws-W6,18.714716,4.81406,25.87566,0.08,0.68,0.24,0,0,detections
ws-W7,19.170334285714286,17.45102,20.45982,0,0.7142857142857143,0.2857142857142857,0,0,detections
ws-WN2,14.002472307692308,6.619339999999999,18.65454,0.1153846153846154,0.8846153846153846,0,0,0,detections
ws-borssele,24.270966666666666,16.849259999999997,45.13198,0,0.4,0.4,0.06666666666666667,0.13333333333333333,detections
ws-11,31,4,16.5,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0,bathymetry
ws-13,19,4,10.166666666666666,0.5,0.5,0,0,0,bathymetry
ws-4,13,3,9,0.6,0.4,0,0,0,bathymetry
ws-DL12,7.00229215621948,5,6.005762577056883,1,0,0,0,0,bathymetry
ws-DL7,6.11999988555908,4.80000019073486,5.490000009536743,1,0,0,0,0,bathymetry
ws-DL9,6.25,4.29999113082886,5.343328793843587,1,0,0,0,0,bathymetry
ws-GVWSP,6.91999101638794,2.33999109268188,4.695009435926164,1,0,0,0,0,bathymetry
ws-OG10,15.0200004577637,3,9.503333409627283,0.5,0.6666666666666666,0,0,0,bathymetry
ws-OGDL,11.0022926330566,7.00229215621948,8.859107903071806,0.8571428571428571,0.2857142857142857,0,0,0,bathymetry
ws-PVTSS,13,8,9.5,0.6666666666666666,0.3333333333333333,0,0,0,bathymetry
ws-SP3,4.31999111175537,2.3599910736084,3.41751237710317,1,0,0,0,0,bathymetry
ws-TRAWL,10.9099912643433,8.78511905670166,9.593016624450685,0.6,0.4,0,0,0,bathymetry
ws-W6,15.4589643478394,13.3389644622803,14.382297515869134,0,1,0,0,0,bathymetry
ws-W7,15.4689645767212,14.7989645004272,15.058964411417616,0,1,0,0,0,bathymetry
ws-WN2,13.5389642715454,9.3789644241333,11.560630957285584,0.16666666666666666,0.8333333333333334,0,0,0,bathymetry
ws-borssele,27,1,11.333333333333334,0.6666666666666666,0,0.3333333333333333,0,0,bathymetry
